ym,port,empty_in,empty_out,full_in,full_out,throughput,empty_net,empty_total_flow,full_total_flow,empty_share,net_pressure_raw,export_pull,roll3_empty_net,cum_empty_net
202501,基隆港,1339,38704,81209,18122,128813.75,-37365,40043,99331,0.3108596714248285,-0.29006996535695917,0.1406837391194651,-37365,-37365
202502,基隆港,1671,20761,68084,19435,104992.75,-19090,22432,87519,0.21365284745851496,-0.1818220781911132,0.18510801936324175,-28227.5,-56455
202503,基隆港,2840,32596,91951,21451,136081.75,-29756,35436,113402,0.26040229494403183,-0.2186626788676659,0.1576331874038951,-28737,-86211
202504,基隆港,1860,29504,89606,23537,139028.75,-27644,31364,113143,0.2255936272173921,-0.19883657157242657,0.16929591900955737,-25496.666666666668,-113855
202505,基隆港,2999,34319,87370,20645,141255.5,-31320,37318,108015,0.2641879431243385,-0.22172587970025945,0.14615360109871828,-29573.333333333332,-145175
202506,基隆港,2296,30873,87276,22312,136769.5,-28577,33169,109588,0.2425175203535876,-0.2089427832959834,0.163135786853063,-29180.333333333332,-173752
202507,基隆港,1380,30250,86974,20893,135946.75,-28870,31630,107867,0.23266462787819495,-0.21236256107630375,0.15368517452605523,-29589,-202622
202508,基隆港,2430,33095,90360,22389,139112,-30665,35525,112749,0.25536977399505434,-0.22043389499108632,0.16094226234976133,-29370.666666666668,-233287
202509,基隆港,2329,35041,93011,18848,134993,-32712,37370,111859,0.2768291689198699,-0.24232367604246147,0.1396220544768988,-30749,-265999
202510,基隆港,2527,26836,75672,19630,124129.75,-24309,29363,95302,0.23655086713700785,-0.19583540609724903,0.15814097748525233,-29228.666666666668,-290308
202511,基隆港,1350,26356,87131,16632,136588.25,-25006,27706,103763,0.20284321674814632,-0.18307577701595856,0.12176742875027684,-27342.333333333332,-315314
202512,基隆港,1272,26359,99956,18600,145851.5,-25087,27631,118556,0.18944611471256723,-0.17200371610850762,0.1275269709259075,-24800.666666666668,-340401
202501,安平港,0,0,0,0,248,0,0,0,0,0,0,0,0
202502,安平港,0,0,0,0,456,0,0,0,0,0,0,0,0
202503,安平港,0,0,0,0,213,0,0,0,0,0,0,0,0
202504,安平港,0,0,0,0,234,0,0,0,0,0,0,0,0
202505,安平港,0,0,0,0,120,0,0,0,0,0,0,0,0
202506,安平港,0,0,0,0,42,0,0,0,0,0,0,0,0
202507,安平港,0,0,0,0,33,0,0,0,0,0,0,0,0
202508,安平港,0,0,0,0,149,0,0,0,0,0,0,0,0
202509,安平港,0,0,0,0,170,0,0,0,0,0,0,0,0
202510,安平港,0,0,0,0,280,0,0,0,0,0,0,0,0
202511,安平港,0,0,0,0,129,0,0,0,0,0,0,0,0
202512,安平港,0,0,0,0,196,0,0,0,0,0,0,0,0
202501,臺中港,11295,9012,80832,40216,129085,2283,20307,121048,0.15731494751520317,0.01768602083898206,0.3115466553046442,2283,2283
202502,臺中港,6222,5935,64518,43731,108321.75,287,12157,108249,0.11223046156473654,0.00264951406342678,0.4037139355669568,1285,2570
202503,臺中港,10585,6574,83661,51097,140307.75,4011,17159,134758,0.12229545410000515,0.02858715929804305,0.3641780300803056,2193.6666666666665,6581
202504,臺中港,14514,8551,79471,52098,134071.5,5963,23065,131569,0.17203507083906722,0.04447626825984643,0.38858370347165505,3420.3333333333335,12544
202505,臺中港,15646,10150,89576,52361,143425.5,5496,25796,141937,0.17985644114888916,0.03831954568748235,0.36507455089924734,5156.666666666667,18040
202506,臺中港,11980,7530,81090,53586,139288.5,4450,19510,134676,0.14006899349192503,0.03194807898713821,0.384712305753885,5303,22490
