20呎標準貨櫃,來源洲,來源港,年月,目的洲,臺灣港
2,亞洲,AEAUH,2025/01,未知,TWKHH
150,亞洲,AEDXB,2025/01,未知,TWKHH
57,亞洲,AEJEA,2025/01,未知,TWKHH
164,大洋洲,AUBNE,2025/01,未知,TWKHH
28,大洋洲,AUMEL,2025/01,未知,TWKHH
34,大洋洲,AUSYD,2025/01,未知,TWKHH
29,歐洲,BEANR,2025/01,未知,TWKHH
321,亞洲,BNMUA,2025/01,未知,TWKHH
74,北美洲,CAVAN,2025/01,未知,TWKHH
1703,北美洲,CAVAN,2025/01,未知,TWKHH
2,亞洲,CNFOC,2025/01,未知,TWKHH
2,亞洲,CNMAW,2025/01,未知,TWEMC
10,亞洲,CNMAW,2025/01,未知,TWKHH
10,亞洲,CNMAW,2025/01,未知,TWKHH
3,亞洲,CNNGB,2025/01,未知,TWKHH
1,亞洲,CNNGB,2025/01,未知,TWTXG
27,亞洲,CNNGB,2025/01,未知,TWTPE
6,亞洲,CNNGB,2025/01,未知,TWTXG
2,亞洲,CNNSA,2025/01,未知,TWKHH
2,亞洲,CNRZH,2025/01,未知,TWKHH
114,亞洲,CNSHG,2025/01,未知,TWKEL
261,亞洲,CNSHG,2025/01,未知,TWKHH
92,亞洲,CNSHG,2025/01,未知,TWTXG
34,亞洲,CNSHK,2025/01,未知,TWKEL
4,亞洲,CNTAO,2025/01,未知,TWKHH
57,亞洲,CNTCA,2025/01,未知,TWKEL
45,亞洲,CNTCA,2025/01,未知,TWKHH
188,亞洲,CNTCA,2025/01,未知,TWTXG
2,亞洲,CNXMN,2025/01,未知,TWKHH
4,亞洲,CNXMN,2025/01,未知,TWKHH
6,亞洲,CNXMN,2025/01,未知,TWTXG
4,亞洲,CNXMN,2025/01,未知,TWTXG
4,南美洲,COCTG,2025/01,未知,TWKHH
98,歐洲,DEHAM,2025/01,未知,TWKHH
135,歐洲,DESTM,2025/01,未知,TWKHH
442,南美洲,ECGYE,2025/01,未知,TWKHH
1,歐洲,ESVLC,2025/01,未知,TWKHH
8,大洋洲,FMYAP,2025/01,未知,TWKHH
3,歐洲,FRLPE,2025/01,未知,TWKHH
128,歐洲,GBFXT,2025/01,未知,TWKHH
110,歐洲,GBFXT,2025/01,未知,TWTPE
118,歐洲,GBSOU,2025/01,未知,TWKHH
326,歐洲,GRPIR,2025/01,未知,TWKHH
28,北美洲,GTPRQ,2025/01,未知,TWKHH
64,北美洲,GTZNJ,2025/01,未知,TWKHH
31,大洋洲,GUGUM,2025/01,未知,TWKHH
56,亞洲,HKHKG,2025/01,未知,TWKEL
130,亞洲,HKHKG,2025/01,未知,TWKHH
2,亞洲,IDBLW,2025/01,未知,TWTPE
328,亞洲,IDJKT,2025/01,未知,TWKHH
140,亞洲,IDJKT,2025/01,未知,TWTXG
414,亞洲,IDSRG,2025/01,未知,TWKHH
22,亞洲,IDSRG,2025/01,未知,TWKHH
65,亞洲,IDSUB,2025/01,未知,TWKHH
102,亞洲,ILASH,2025/01,未知,TWKHH
41,亞洲,INKAT,2025/01,未知,TWKHH
14,亞洲,INMAA,2025/01,未知,TWKHH
292,亞洲,INNSA,2025/01,未知,TWKHH
50,亞洲,IQUQR,2025/01,未知,TWKHH
2,歐洲,ITGOA,2025/01,未知,TWKHH
100,歐洲,ITSPE,2025/01,未知,TWKHH
20,亞洲,JPCHB,2025/01,未知,TWTXG
6,亞洲,JPHIJ,2025/01,未知,TWKHH
10,亞洲,JPHIJ,2025/01,未知,TWTXG
142,亞洲,JPHKT,2025/01,未知,TWKHH
30,亞洲,JPHKT,2025/01,未知,TWKHH
3,亞洲,JPHKT,2025/01,未知,TWTPE
206,亞洲,JPHKT,2025/01,未知,TWTXG
80,亞洲,JPKWS,2025/01,未知,TWTXG
15,亞洲,JPMIZ,2025/01,未知,TWTXG
31,亞洲,JPMOJ,2025/01,未知,TWKHH
