20呎標準貨櫃,來源洲,來源港,年月,目的洲,臺灣港
16,亞洲,AEAUH,2025/01,未知,TWKHH
152,亞洲,AEDXB,2025/01,未知,TWKHH
1243,亞洲,AEJEA,2025/01,未知,TWKHH
7,大洋洲,ASPPG,2025/01,未知,TWKHH
620,大洋洲,AUBNE,2025/01,未知,TWKHH
2057,大洋洲,AUMEL,2025/01,未知,TWKHH
1291,大洋洲,AUSYD,2025/01,未知,TWKHH
6,亞洲,BDCGP,2025/01,未知,TWKEL
3,亞洲,BDCGP,2025/01,未知,TWKHH
1,歐洲,BEANR,2025/01,未知,TWKEL
1468,歐洲,BEANR,2025/01,未知,TWKHH
2,歐洲,BEANR,2025/01,未知,TWKHH
12,亞洲,BNMUA,2025/01,未知,TWKHH
465,北美洲,CAVAN,2025/01,未知,TWKHH
5571,北美洲,CAVAN,2025/01,未知,TWKHH
160,南美洲,CLAGM,2025/01,未知,TWKEL
19,南美洲,CLIQQ,2025/01,未知,TWKEL
48,南美洲,CLPAG,2025/01,未知,TWKEL
1002,南美洲,CLSAI,2025/01,未知,TWKHH
53,南美洲,CLSVE,2025/01,未知,TWKEL
272,南美洲,CLVAP,2025/01,未知,TWKEL
9,亞洲,CNCGU,2025/01,未知,TWKEL
1163,亞洲,CNDLC,2025/01,未知,TWKEL
3190,亞洲,CNDLC,2025/01,未知,TWKHH
27,亞洲,CNDLC,2025/01,未知,TWKHH
343,亞洲,CNDLC,2025/01,未知,TWTXG
644,亞洲,CNDLC,2025/01,未知,TWTXG
5,亞洲,CNDMY,2025/01,未知,TWKEL
65,亞洲,CNDTU,2025/01,未知,TWKHH
27,亞洲,CNDTU,2025/01,未知,TWTXG
348,亞洲,CNFOC,2025/01,未知,TWEMC
98,亞洲,CNFOC,2025/01,未知,TWKEL
5035,亞洲,CNFOC,2025/01,未知,TWKHH
45,亞洲,CNFOC,2025/01,未知,TWKHH
74,亞洲,CNFOC,2025/01,未知,TWTXG
157,亞洲,CNFOC,2025/01,未知,TWTPE
200,亞洲,CNFUG,2025/01,未知,TWKHH
452,亞洲,CNFZU,2025/01,未知,TWKHH
51,亞洲,CNGCT,2025/01,未知,TWKHH
