20呎標準貨櫃,來源洲,年月,目的洲,目的港,臺灣港
4,未知,2025/01,亞洲,CNLYG,TWKHH
153,未知,2025/01,亞洲,CNXMN,TWKHH
52,未知,2025/01,亞洲,CNLYG,TWKCX
50,未知,2025/01,南美洲,CLVAP,TWKEL
400,未知,2025/01,亞洲,CNDLC,TWKEL
674,未知,2025/01,亞洲,CNGCT,TWKEL
100,未知,2025/01,亞洲,CNHMN,TWKEL
49,未知,2025/01,亞洲,CNHSK,TWKEL
423,未知,2025/01,亞洲,CNJGY,TWKEL
27,未知,2025/01,亞洲,CNNBO,TWKEL
3088,未知,2025/01,亞洲,CNNGB,TWKEL
348,未知,2025/01,亞洲,CNNSA,TWKEL
2100,未知,2025/01,亞洲,CNNSS,TWKEL
100,未知,2025/01,亞洲,CNRZH,TWKEL
4434,未知,2025/01,亞洲,CNSHG,TWKEL
2060,未知,2025/01,亞洲,CNSHK,TWKEL
3972,未知,2025/01,亞洲,CNSHK,TWKEL
1016,未知,2025/01,亞洲,CNSWA,TWKEL
1860,未知,2025/01,亞洲,CNTAC,TWKEL
1360,未知,2025/01,亞洲,CNTCA,TWKEL
890,未知,2025/01,亞洲,CNWNZ,TWKEL
3091,未知,2025/01,亞洲,CNXMN,TWKEL
11361,未知,2025/01,亞洲,HKHKG,TWKEL
2,未知,2025/01,亞洲,JPMYJ,TWKEL
100,未知,2025/01,亞洲,JPOIT,TWKEL
8,未知,2025/01,亞洲,JPUKB,TWKEL
160,未知,2025/01,亞洲,KRINC,TWKEL
523,未知,2025/01,亞洲,KRPUS,TWKEL
12,未知,2025/01,大洋洲,NZLYT,TWKEL
188,未知,2025/01,大洋洲,NZNPE,TWKEL
104,未知,2025/01,大洋洲,NZTRG,TWKEL
70,未知,2025/01,亞洲,VNCLI,TWKEL
2,未知,2025/01,亞洲,VNDAD,TWKEL
92,未知,2025/01,亞洲,VNHPH,TWKEL
40,未知,2025/01,亞洲,VNSGN,TWKEL
28,未知,2025/01,大洋洲,AUBNE,TWKHH
148,未知,2025/01,大洋洲,AUMEL,TWKHH
4,未知,2025/01,南美洲,BRSSZ,TWKHH
318,未知,2025/01,亞洲,CNDLC,TWKHH
100,未知,2025/01,亞洲,CNDLI,TWKHH
2018,未知,2025/01,亞洲,CNFOC,TWKHH
150,未知,2025/01,亞洲,CNFUG,TWKHH
135,未知,2025/01,亞洲,CNGCT,TWKHH
20,未知,2025/01,亞洲,CNHMN,TWKHH
14,未知,2025/01,亞洲,CNHMP,TWKHH
97,未知,2025/01,亞洲,CNHSK,TWKHH
329,未知,2025/01,亞洲,CNJIA,TWKHH
326,未知,2025/01,亞洲,CNJYN,TWKHH
54,未知,2025/01,亞洲,CNLYG,TWKHH
55,未知,2025/01,亞洲,CNMAW,TWKHH
1138,未知,2025/01,亞洲,CNNGB,TWKHH
113,未知,2025/01,亞洲,CNNSA,TWKHH
230,未知,2025/01,亞洲,CNNSS,TWKHH
413,未知,2025/01,亞洲,CNRZH,TWKHH
2679,未知,2025/01,亞洲,CNSHG,TWKHH
323,未知,2025/01,亞洲,CNSHK,TWKHH
992,未知,2025/01,亞洲,CNSHK,TWKHH
114,未知,2025/01,亞洲,CNSWA,TWKHH
720,未知,2025/01,亞洲,CNTAC,TWKHH
31,未知,2025/01,亞洲,CNTCA,TWKHH
300,未知,2025/01,亞洲,CNWNZ,TWKHH
206,未知,2025/01,亞洲,CNXGA,TWKHH
4,未知,2025/01,亞洲,CNXGG,TWKHH
120,未知,2025/01,亞洲,CNXHK,TWKHH
290,未知,2025/01,亞洲,CNXHT,TWKHH
4733,未知,2025/01,亞洲,CNXMN,TWKHH
44,未知,2025/01,亞洲,CNYJG,TWKHH
60,未知,2025/01,南美洲,ECGYE,TWKHH
5039,未知,2025/01,亞洲,HKHKG,TWKHH
6,未知,2025/01,亞洲,IDSUB,TWKHH
200,未知,2025/01,亞洲,INMUN,TWKHH
206,未知,2025/01,亞洲,INNSA,TWKHH
99,未知,2025/01,亞洲,JPMOJ,TWKHH
16,未知,2025/01,亞洲,JPMYJ,TWKHH
75,未知,2025/01,亞洲,JPNGO,TWKHH
1,未知,2025/01,亞洲,JPOSA,TWKHH
120,未知,2025/01,亞洲,JPTKY,TWKHH
4,未知,2025/01,亞洲,JPUKB,TWKHH
8,未知,2025/01,亞洲,JPYAT,TWKHH
20,未知,2025/01,亞洲,JPYOK,TWKHH
4,未知,2025/01,亞洲,KRKAN,TWKHH
6,未知,2025/01,亞洲,KRKWY,TWKHH
2196,未知,2025/01,亞洲,KRPUS,TWKHH
8,未知,2025/01,亞洲,KRUSN,TWKHH
7,未知,2025/01,亞洲,MYPKG,TWKHH
2,未知,2025/01,亞洲,MYTPP,TWKHH
8,未知,2025/01,大洋洲,NZLYT,TWKHH
28,未知,2025/01,大洋洲,NZNPE,TWKHH
134,未知,2025/01,大洋洲,NZTRG,TWKHH
51,未知,2025/01,亞洲,PHDVO,TWKHH
260,未知,2025/01,亞洲,PHGTC,TWKHH
616,未知,2025/01,亞洲,SGSIN,TWKHH
60,未知,2025/01,亞洲,THLCB,TWKHH
41,未知,2025/01,亞洲,THLCH,TWKHH
8,未知,2025/01,歐洲,TRYAR,TWKHH
1088,未知,2025/01,亞洲,VNCLI,TWKHH
4,未知,2025/01,亞洲,VNCLP,TWKHH
36,未知,2025/01,亞洲,VNDAD,TWKHH
184,未知,2025/01,亞洲,VNHCM,TWKHH
1105,未知,2025/01,亞洲,VNHPH,TWKHH
26,未知,2025/01,亞洲,VNSGN,TWKHH
3662,未知,2025/01,亞洲,VNVUT,TWKHH
122,未知,2025/01,亞洲,CNDLI,TWKHH
2117,未知,2025/01,亞洲,CNFZU,TWKHH
