20呎標準貨櫃,來源洲,年月,目的洲,目的港,臺灣港
2150,未知,2025/01,亞洲,PHMNN,TWKAA
99,未知,2025/01,亞洲,CNFOC,TWKHH
25,未知,2025/01,亞洲,CNJYN,TWKHH
205,未知,2025/01,亞洲,CNSHG,TWKHH
118,未知,2025/01,亞洲,CNXGG,TWKHH
66,未知,2025/01,亞洲,CNXMN,TWKHH
4937,未知,2025/01,亞洲,PHMNN,TWKHH
420,未知,2025/01,亞洲,VNDAD,TWKHH
622,未知,2025/01,亞洲,VNHPH,TWKHH
2539,未知,2025/01,亞洲,PHMNN,TWKAW
523,未知,2025/01,亞洲,CNLYG,TWKCX
4,未知,2025/01,亞洲,CNRZH,TWKCX
91,未知,2025/01,亞洲,CNTAO,TWKCX
16,未知,2025/01,亞洲,AESHJ,TWKEL
6,未知,2025/01,北美洲,BBBGI,TWKEL
5,未知,2025/01,南美洲,BRMAO,TWKEL
2,未知,2025/01,南美洲,BRSSZ,TWKEL
4,未知,2025/01,南美洲,BRSUA,TWKEL
15,未知,2025/01,北美洲,CAVAN,TWKEL
27,未知,2025/01,南美洲,CLIQQ,TWKEL
4,未知,2025/01,南美洲,CLLQN,TWKEL
4,未知,2025/01,南美洲,CLSAI,TWKEL
2,未知,2025/01,南美洲,CLSVE,TWKEL
27,未知,2025/01,南美洲,CLVAP,TWKEL
4,未知,2025/01,亞洲,CNBEH,TWKEL
96,未知,2025/01,亞洲,CNDLC,TWKEL
167,未知,2025/01,亞洲,CNGCT,TWKEL
57,未知,2025/01,亞洲,CNHMN,TWKEL
41,未知,2025/01,亞洲,CNHMP,TWKEL
72,未知,2025/01,亞洲,CNHSK,TWKEL
10,未知,2025/01,亞洲,CNJGY,TWKEL
12,未知,2025/01,亞洲,CNLYG,TWKEL
24,未知,2025/01,亞洲,CNNBO,TWKEL
1263,未知,2025/01,亞洲,CNNGB,TWKEL
136,未知,2025/01,亞洲,CNNSA,TWKEL
3,未知,2025/01,亞洲,CNNSS,TWKEL
3,未知,2025/01,亞洲,CNPSA,TWKEL
7,未知,2025/01,亞洲,CNRZH,TWKEL
3659,未知,2025/01,亞洲,CNSHG,TWKEL
315,未知,2025/01,亞洲,CNSHK,TWKEL
4,未知,2025/01,亞洲,CNSTN,TWKEL
60,未知,2025/01,亞洲,CNSWA,TWKEL
161,未知,2025/01,亞洲,CNTAC,TWKEL
197,未知,2025/01,亞洲,CNTCA,TWKEL
12,未知,2025/01,亞洲,CNWNZ,TWKEL
72,未知,2025/01,亞洲,CNXGG,TWKEL
186,未知,2025/01,亞洲,CNXMN,TWKEL
19,未知,2025/01,亞洲,CNXSA,TWKEL
2,未知,2025/01,亞洲,CNYAA,TWKEL
32,未知,2025/01,亞洲,CNYTN,TWKEL
46,未知,2025/01,亞洲,CNZAP,TWKEL
20,未知,2025/01,南美洲,COBUN,TWKEL
4,未知,2025/01,北美洲,CRCAL,TWKEL
2,未知,2025/01,北美洲,CRHER,TWKEL
22,未知,2025/01,北美洲,CRSJO,TWKEL
2,未知,2025/01,北美洲,DOCAU,TWKEL
42,未知,2025/01,南美洲,ECGYE,TWKEL
62,未知,2025/01,北美洲,GTPRQ,TWKEL
3986,未知,2025/01,亞洲,HKHKG,TWKEL
2,未知,2025/01,北美洲,HNPCR,TWKEL
12,未知,2025/01,亞洲,IDBTM,TWKEL
2,未知,2025/01,亞洲,INBLR,TWKEL
6,未知,2025/01,亞洲,INCCU,TWKEL
34,未知,2025/01,亞洲,INMAA,TWKEL
11,未知,2025/01,亞洲,INMUN,TWKEL
7,未知,2025/01,未知,JAYAT,TWKEL
1,未知,2025/01,亞洲,JPHMD,TWKEL
2,未知,2025/01,亞洲,JPISI,TWKEL
8,未知,2025/01,亞洲,JPKCZ,TWKEL
8,未知,2025/01,亞洲,JPKNZ,TWKEL
2,未知,2025/01,亞洲,JPKUH,TWKEL
3,未知,2025/01,亞洲,JPMYJ,TWKEL
46,未知,2025/01,亞洲,JPNAH,TWKEL
246,未知,2025/01,亞洲,JPNGO,TWKEL
52,未知,2025/01,亞洲,JPOIT,TWKEL
22,未知,2025/01,亞洲,JPSBS,TWKEL
28,未知,2025/01,亞洲,JPSMZ,TWKEL
10,未知,2025/01,亞洲,JPTMK,TWKEL
1,未知,2025/01,亞洲,JPTOS,TWKEL
