,空實櫃別,總計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,實櫃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,空櫃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,港口別,港口別總計,,,,,基隆港,,,,,高雄港,,,,,臺中港,,,,,臺北港,,,,,安平港,,,,,港口別總計,,,,,基隆港,,,,,高雄港,,,,,臺中港,,,,,臺北港,,,,,安平港,,,,,港口別總計,,,,,基隆港,,,,,高雄港,,,,,臺中港,,,,,臺北港,,,,,安平港,,,,
,貨櫃類型別,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎
日期,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110年,,9930606,23,4412626,5493611,24346,1013591,-,426108,586212,1271,6349653,23,2839552,3491202,18876,1301263,-,623555,676414,1294,1265900,-,523394,739601,2905,199,-,17,182,-,8492283,18,3779020,4701221,12024,810134,-,358465,451131,538,5524205,18,2444214,3070458,9515,1081177,-,518750,561707,720,1076576,-,457574,617751,1251,191,-,17,174,-,1438323,5,633606,792390,12322,203457,-,67643,135081,733,825448,5,395338,420744,9361,220086,-,104805,114707,574,189324,-,65820,121850,1654,8,-,-,8,-
110年01月,,849643,1,391054,455977,2611,86119,-,35489,50456,174,540067,1,247522,290579,1965,115116,-,58182,56782,152,108341,-,49861,58160,320,-,-,-,-,-,720707,1,332319,387188,1199,69962,-,30716,39148,98,467293,1,212441,253922,929,94701,-,46892,47733,76,88751,-,42270,46385,96,-,-,-,-,-,128936,-,58735,68789,1412,16157,-,4773,11308,76,72774,-,35081,36657,1036,20415,-,11290,9049,76,19590,-,7591,11775,224,-,-,-,-,-
110年02月,,728319,-,338967,386969,2383,64653,-,27924,36614,115,480030,-,221961,256354,1715,90021,-,44525,45379,117,93615,-,44557,48622,436,-,-,-,-,-,615315,-,280997,333228,1090,50867,-,23221,27600,46,410589,-,184367,225309,913,75142,-,36441,38644,57,78717,-,36968,41675,74,-,-,-,-,-,113004,-,57970,53741,1293,13786,-,4703,9014,69,69441,-,37594,31045,802,14879,-,8084,6735,60,14898,-,7589,6947,362,-,-,-,-,-
110年03月,,867693,-,392753,472629,2311,86157,-,37852,48169,136,557530,-,250981,304899,1650,112665,-,55523,57013,129,111341,-,48397,62548,396,-,-,-,-,-,741887,-,339928,400738,1221,71592,-,32331,39208,53,481483,-,217363,263177,943,93160,-,46223,46851,86,95652,-,44011,51502,139,-,-,-,-,-,125806,-,52825,71891,1090,14565,-,5521,8961,83,76047,-,33618,41722,707,19505,-,9300,10162,43,15689,-,4386,11046,257,-,-,-,-,-
110年04月,,841283,4,379158,459933,2188,85899,-,36282,49507,110,531399,4,241994,287788,1613,110133,-,53792,56179,162,113852,-,47090,66459,303,-,-,-,-,-,717723,4,325547,391096,1076,69029,-,30364,38634,31,461096,4,209108,251109,875,91280,-,44274,46941,65,96318,-,41801,54412,105,-,-,-,-,-,123560,-,53611,68837,1112,16870,-,5918,10873,79,70303,-,32886,36679,738,18853,-,9518,9238,97,17534,-,5289,12047,198,-,-,-,-,-
110年05月,,864584,4,388566,473057,2957,88607,-,36170,52188,249,548969,4,249202,297455,2308,112855,-,53947,58734,174,114146,-,49240,64680,226,7,-,7,-,-,742807,2,330219,411427,1159,72098,-,31505,40504,89,477212,2,211186,265194,830,94733,-,45027,49601,105,98757,-,42494,56128,135,7,-,7,-,-,121777,2,58347,61630,1798,16509,-,4665,11684,160,71757,2,38016,32261,1478,18122,-,8920,9133,69,15389,-,6746,8552,91,-,-,-,-,-
110年06月,,835596,-,370239,462997,2360,80468,-,33936,46496,36,539915,-,241117,296749,2049,106363,-,50458,55818,87,108850,-,44728,63934,188,-,-,-,-,-,704730,-,311582,391790,1358,62228,-,27744,34454,30,464282,-,204029,259137,1116,87138,-,41535,45527,76,91082,-,38274,52672,136,-,-,-,-,-,130866,-,58657,71207,1002,18240,-,6192,12042,6,75633,-,37088,37612,933,19225,-,8923,10291,11,17768,-,6454,11262,52,-,-,-,-,-
