,進出港別,總計,,,,,進港,,,,,出港,,,,
,港口別,港口別總計,基隆港,高雄港,臺中港,臺北港,港口別總計,基隆港,高雄港,臺中港,臺北港,港口別總計,基隆港,高雄港,臺中港,臺北港
,空實櫃別,空實櫃別總計,空實櫃別總計,空實櫃別總計,空實櫃別總計,空實櫃別總計,空實櫃別總計,空實櫃別總計,空實櫃別總計,空實櫃別總計,空實櫃別總計,空實櫃別總計,空實櫃別總計,空實櫃別總計,空實櫃別總計,空實櫃別總計
日期,,,,,,,,,,,,,,,,
113年,,13933254,1649898,9228422,1613472,1439806,6990594,857325,4609045,808434,714943,6942661,792574,4619377,805038,724864
113年01月,,1163194,145454,747098,144216,126325,574978,75130,368985,70157,60634,588216,70324,378113,74059,65691
113年02月,,987656,95208,687137,110313,94751,485581,46673,338377,54602,45787,502076,48535,348759,55711,48964
113年03月,,1227233,134351,817859,152523,122427,611853,70400,404462,75886,61050,615380,63951,413397,76637,61377
113年04月,,1141617,139106,756733,133583,112145,580792,74098,382304,68024,56324,560825,65008,374429,65559,55821
113年05月,,1200529,145890,796147,136395,122022,603815,73853,402916,66671,60358,596714,72037,393232,69723,61665
113年06月,,1229509,146736,815094,145490,122093,621655,75503,413147,73140,59817,607855,71233,401947,72351,62276
113年07月,,1107782,137797,719523,135854,114561,565362,71633,364047,69283,60375,542420,66164,355475,66571,54186
113年08月,,1261338,149332,842905,136535,132375,613008,78030,403081,68257,63586,648331,71302,439824,68278,68789
113年09月,,1127045,133478,757498,120562,115305,564925,68283,378013,60361,58167,562120,65195,379485,60201,57138
113年10月,,1044875,124852,694262,114665,111072,528267,68180,346921,57926,55240,516609,56672,347341,56740,55832
113年11月,,1179495,144909,763471,137528,133426,597491,75379,386395,68773,66840,582005,69531,377077,68755,66586
113年12月,,1262981,152787,830697,145809,133306,642869,80163,420398,75356,66766,620112,72624,410299,70453,66540
114年,,13546112,1603564,8885855,1590761,1463658,6806984,853160,4441052,795510,716079,6739128,750404,4444803,795251,747579
114年01月,,1156788,128814,780707,129085,117935,572420,65701,384941,67188,54489,584368,63113,395765,61897,63446
114年02月,,1007248,104993,693320,108322,100157,495310,54443,341071,50685,48790,511938,50550,352249,57637,51368
114年03月,,1200425,136082,791883,140303,131944,607663,73179,399838,69061,65495,592763,62903,392045,71242,66449
114年04月,,1130209,139029,736143,134072,120731,568667,74050,367257,67273,59964,561542,64979,368886,66799,60768
114年05月,,1176212,141256,760687,143426,130725,592842,73639,382246,71724,65128,583371,67617,378441,71702,65597
114年06月,,1159961,136770,754069,139289,129792,576881,72156,373178,68001,63536,583080,64614,380891,71288,66256
114年07月,,1120192,135947,731296,129173,123744,559728,72841,361266,66268,59354,560465,63106,370030,62906,64390
114年08月,,1159102,139112,762628,139444,117769,578658,74252,378047,68893,57409,580444,64861,384581,70551,60359
114年09月,,1065256,134994,695856,126648,107585,538080,71484,347920,64385,54184,527177,63510,347936,62263,53401
114年10月,,1066266,124130,704490,124365,113001,540415,68190,355248,62009,54833,525851,55940,349243,62355,58169
114年11月,,1085743,136588,697826,129489,121711,550750,74269,350697,66602,59117,534993,62319,347130,62887,62594
114年12月,,1218712,145852,776951,147148,148565,625573,78959,399345,73423,73782,593139,66893,377606,73726,74783
115年(至04月),,4382304,526257,2828918,506619,520173,2181714,279750,1402791,250439,248569,2200590,246507,1426127,256180,271604
115年01月,,1172039,146289,754113,133625,137826,580879,77233,371287,66064,66206,591160,69056,382827,67562,71620
115年02月,,936024,107376,616873,102953,108763,453377,54726,297258,50531,50833,482647,52651,319615,52423,57931
115年03月,,1180268,132321,760029,140391,147456,599024,71978,388975,67266,70759,581244,60342,371054,73125,76697
115年04月,,1093974,140272,697903,129649,126128,548435,75814,345272,66578,60771,545539,64458,352631,63072,65357
單位：折合20呎貨櫃數(TEU),,,,,,,,,,,,,,,,
"說明：
  1.不含翻艙櫃量；總計含花蓮港、安平港及蘇澳港。
  2.國際商港貨櫃裝卸量統計自105年起包含國內航線貨櫃裝卸量。
  3.因四捨五入關係，總計數字容或不等於細項數字之合。",,,,,,,,,,,,,,,,
資料來源：臺灣港務股份有限公司。,,,,,,,,,,,,,,,,
