ym,ds,direction_type,port,teu
202401,2024-01-01,出港,基隆港,70324
202401,2024-01-01,總計,基隆港,145454
202401,2024-01-01,進港,基隆港,75130
202401,2024-01-01,出港,港口別總計,588216
202401,2024-01-01,總計,港口別總計,1163194
202401,2024-01-01,進港,港口別總計,574978
202401,2024-01-01,出港,臺中港,74059
202401,2024-01-01,總計,臺中港,144216
202401,2024-01-01,進港,臺中港,70157
202401,2024-01-01,出港,臺北港,65691
202401,2024-01-01,總計,臺北港,126325
202401,2024-01-01,進港,臺北港,60634
202401,2024-01-01,出港,高雄港,378113
202401,2024-01-01,總計,高雄港,747098
202401,2024-01-01,進港,高雄港,368985
202402,2024-02-01,出港,基隆港,48535
202402,2024-02-01,總計,基隆港,95208
202402,2024-02-01,進港,基隆港,46673
202402,2024-02-01,出港,港口別總計,502076
202402,2024-02-01,總計,港口別總計,987656
202402,2024-02-01,進港,港口別總計,485581
202402,2024-02-01,出港,臺中港,55711
202402,2024-02-01,總計,臺中港,110313
202402,2024-02-01,進港,臺中港,54602
202402,2024-02-01,出港,臺北港,48964
202402,2024-02-01,總計,臺北港,94751
202402,2024-02-01,進港,臺北港,45787
202402,2024-02-01,出港,高雄港,348759
202402,2024-02-01,總計,高雄港,687137
202402,2024-02-01,進港,高雄港,338377
202403,2024-03-01,出港,基隆港,63951
202403,2024-03-01,總計,基隆港,134351
202403,2024-03-01,進港,基隆港,70400
202403,2024-03-01,出港,港口別總計,615380
202403,2024-03-01,總計,港口別總計,1227233
202403,2024-03-01,進港,港口別總計,611853
202403,2024-03-01,出港,臺中港,76637
202403,2024-03-01,總計,臺中港,152523
202403,2024-03-01,進港,臺中港,75886
202403,2024-03-01,出港,臺北港,61377
202403,2024-03-01,總計,臺北港,122427
202403,2024-03-01,進港,臺北港,61050
202403,2024-03-01,出港,高雄港,413397
202403,2024-03-01,總計,高雄港,817859
202403,2024-03-01,進港,高雄港,404462
202404,2024-04-01,出港,基隆港,65008
202404,2024-04-01,總計,基隆港,139106
202404,2024-04-01,進港,基隆港,74098
202404,2024-04-01,出港,港口別總計,560825
202404,2024-04-01,總計,港口別總計,1141617
202404,2024-04-01,進港,港口別總計,580792
202404,2024-04-01,出港,臺中港,65559
202404,2024-04-01,總計,臺中港,133583
202404,2024-04-01,進港,臺中港,68024
202404,2024-04-01,出港,臺北港,55821
202404,2024-04-01,總計,臺北港,112145
202404,2024-04-01,進港,臺北港,56324
202404,2024-04-01,出港,高雄港,374429
202404,2024-04-01,總計,高雄港,756733
202404,2024-04-01,進港,高雄港,382304
202405,2024-05-01,出港,基隆港,72037
202405,2024-05-01,總計,基隆港,145890
202405,2024-05-01,進港,基隆港,73853
202405,2024-05-01,出港,港口別總計,596714
202405,2024-05-01,總計,港口別總計,1200529
202405,2024-05-01,進港,港口別總計,603815
202405,2024-05-01,出港,臺中港,69723
202405,2024-05-01,總計,臺中港,136395
202405,2024-05-01,進港,臺中港,66671
202405,2024-05-01,出港,臺北港,61665
202405,2024-05-01,總計,臺北港,122022
202405,2024-05-01,進港,臺北港,60358
202405,2024-05-01,出港,高雄港,393232
202405,2024-05-01,總計,高雄港,796147
202405,2024-05-01,進港,高雄港,402916
202406,2024-06-01,出港,基隆港,71233
202406,2024-06-01,總計,基隆港,146736
202406,2024-06-01,進港,基隆港,75503
202406,2024-06-01,出港,港口別總計,607855
202406,2024-06-01,總計,港口別總計,1229509
202406,2024-06-01,進港,港口別總計,621655
202406,2024-06-01,出港,臺中港,72351
202406,2024-06-01,總計,臺中港,145490
202406,2024-06-01,進港,臺中港,73140
202406,2024-06-01,出港,臺北港,62276
202406,2024-06-01,總計,臺北港,122093
202406,2024-06-01,進港,臺北港,59817
202406,2024-06-01,出港,高雄港,401947
202406,2024-06-01,總計,高雄港,815094
202406,2024-06-01,進港,高雄港,413147
202407,2024-07-01,出港,基隆港,66164
202407,2024-07-01,總計,基隆港,137797
202407,2024-07-01,進港,基隆港,71633
202407,2024-07-01,出港,港口別總計,542420
202407,2024-07-01,總計,港口別總計,1107782
202407,2024-07-01,進港,港口別總計,565362
202407,2024-07-01,出港,臺中港,66571
202407,2024-07-01,總計,臺中港,135854
202407,2024-07-01,進港,臺中港,69283
202407,2024-07-01,出港,臺北港,54186
202407,2024-07-01,總計,臺北港,114561
202407,2024-07-01,進港,臺北港,60375
202407,2024-07-01,出港,高雄港,355475
202407,2024-07-01,總計,高雄港,719523
202407,2024-07-01,進港,高雄港,364047
202408,2024-08-01,出港,基隆港,71302
202408,2024-08-01,總計,基隆港,149332
202408,2024-08-01,進港,基隆港,78030
202408,2024-08-01,出港,港口別總計,648331
202408,2024-08-01,總計,港口別總計,1261338
202408,2024-08-01,進港,港口別總計,613008
202408,2024-08-01,出港,臺中港,68278
202408,2024-08-01,總計,臺中港,136535
202408,2024-08-01,進港,臺中港,68257
202408,2024-08-01,出港,臺北港,68789
202408,2024-08-01,總計,臺北港,132375
202408,2024-08-01,進港,臺北港,63586
202408,2024-08-01,出港,高雄港,439824
202408,2024-08-01,總計,高雄港,842905
202408,2024-08-01,進港,高雄港,403081
202409,2024-09-01,出港,基隆港,65195
202409,2024-09-01,總計,基隆港,133478
202409,2024-09-01,進港,基隆港,68283
202409,2024-09-01,出港,港口別總計,562120
202409,2024-09-01,總計,港口別總計,1127045
202409,2024-09-01,進港,港口別總計,564925
202409,2024-09-01,出港,臺中港,60201
202409,2024-09-01,總計,臺中港,120562
202409,2024-09-01,進港,臺中港,60361
202409,2024-09-01,出港,臺北港,57138
202409,2024-09-01,總計,臺北港,115305
202409,2024-09-01,進港,臺北港,58167
202409,2024-09-01,出港,高雄港,379485
202409,2024-09-01,總計,高雄港,757498
202409,2024-09-01,進港,高雄港,378013
202410,2024-10-01,出港,基隆港,56672
202410,2024-10-01,總計,基隆港,124852
202410,2024-10-01,進港,基隆港,68180
202410,2024-10-01,出港,港口別總計,516609
202410,2024-10-01,總計,港口別總計,1044875
202410,2024-10-01,進港,港口別總計,528267
202410,2024-10-01,出港,臺中港,56740
202410,2024-10-01,總計,臺中港,114665
202410,2024-10-01,進港,臺中港,57926
202410,2024-10-01,出港,臺北港,55832
202410,2024-10-01,總計,臺北港,111072
202410,2024-10-01,進港,臺北港,55240
202410,2024-10-01,出港,高雄港,347341
202410,2024-10-01,總計,高雄港,694262
202410,2024-10-01,進港,高雄港,346921
202411,2024-11-01,出港,基隆港,69531
202411,2024-11-01,總計,基隆港,144909
202411,2024-11-01,進港,基隆港,75379
202411,2024-11-01,出港,港口別總計,582005
202411,2024-11-01,總計,港口別總計,1179495
202411,2024-11-01,進港,港口別總計,597491
202411,2024-11-01,出港,臺中港,68755
202411,2024-11-01,總計,臺中港,137528
202411,2024-11-01,進港,臺中港,68773
202411,2024-11-01,出港,臺北港,66586
202411,2024-11-01,總計,臺北港,133426
202411,2024-11-01,進港,臺北港,66840
202411,2024-11-01,出港,高雄港,377077
202411,2024-11-01,總計,高雄港,763471
