ym,ds,port,empty_full_type,container_count,container_teu_est
202101,2021-01-01,基隆港,實櫃,69962,109232.5
202101,2021-01-01,基隆港,空櫃,16157,27560
202101,2021-01-01,基隆港,總計,86119,136792.5
202101,2021-01-01,安平港,實櫃,0,0
202101,2021-01-01,安平港,空櫃,0,0
202101,2021-01-01,安平港,總計,0,0
202101,2021-01-01,港口別總計,實櫃,720707,1109393.25
202101,2021-01-01,港口別總計,空櫃,128936,199490
202101,2021-01-01,港口別總計,總計,849643,1308883.25
202101,2021-01-01,臺中港,實櫃,94701,142529
202101,2021-01-01,臺中港,空櫃,20415,29559
202101,2021-01-01,臺中港,總計,115116,172088
202101,2021-01-01,臺北港,實櫃,88751,135256
202101,2021-01-01,臺北港,空櫃,19590,31645
202101,2021-01-01,臺北港,總計,108341,166901
202101,2021-01-01,高雄港,實櫃,467293,722375.75
202101,2021-01-01,高雄港,空櫃,72774,110726
202101,2021-01-01,高雄港,總計,540067,833101.75
202102,2021-02-01,基隆港,實櫃,50867,78524.5
202102,2021-02-01,基隆港,空櫃,13786,22886.25
202102,2021-02-01,基隆港,總計,64653,101410.75
202102,2021-02-01,安平港,實櫃,0,0
202102,2021-02-01,安平港,空櫃,0,0
202102,2021-02-01,安平港,總計,0,0
202102,2021-02-01,港口別總計,實櫃,615315,949905.5
202102,2021-02-01,港口別總計,空櫃,113004,168361.25
202102,2021-02-01,港口別總計,總計,728319,1118266.75
202102,2021-02-01,臺中港,實櫃,75142,113857.25
202102,2021-02-01,臺中港,空櫃,14879,21689
202102,2021-02-01,臺中港,總計,90021,135546.25
202102,2021-02-01,臺北港,實櫃,78717,120484.5
202102,2021-02-01,臺北港,空櫃,14898,22297.5
202102,2021-02-01,臺北港,總計,93615,142782
202102,2021-02-01,高雄港,實櫃,410589,637039.25
202102,2021-02-01,高雄港,空櫃,69441,101488.5
202102,2021-02-01,高雄港,總計,480030,738527.75
202103,2021-03-01,基隆港,實櫃,71592,110866.25
202103,2021-03-01,基隆港,空櫃,14565,23629.75
202103,2021-03-01,基隆港,總計,86157,134496
202103,2021-03-01,安平港,實櫃,0,0
202103,2021-03-01,安平港,空櫃,0,0
202103,2021-03-01,安平港,總計,0,0
202103,2021-03-01,港口別總計,實櫃,741887,1144151.25
202103,2021-03-01,港口別總計,空櫃,125806,199059.5
202103,2021-03-01,港口別總計,總計,867693,1343210.75
202103,2021-03-01,臺中港,實櫃,93160,140118.5
202103,2021-03-01,臺中港,空櫃,19505,29720.75
202103,2021-03-01,臺中港,總計,112665,169839.25
202103,2021-03-01,臺北港,實櫃,95652,147327.75
202103,2021-03-01,臺北港,空櫃,15689,27056.25
202103,2021-03-01,臺北港,總計,111341,174384
202103,2021-03-01,高雄港,實櫃,481483,745838.75
