ym,ds,port,full_container_count,empty_container_count,total_container_count,full_container_teu_est,empty_container_teu_est,total_container_teu_est,out_teu,total_teu,in_teu,empty_share_count,full_share_count,empty_share_teu_est,full_share_teu_est,direction_balance_teu,direction_balance_rate
202101,2021-01-01,基隆港,69962,16157,86119,109232.5,27560,136792.5,NA,NA,NA,0.1876124896944925,0.8123875103055075,0.20147303397481586,0.7985269660251841,NA,NA
202102,2021-02-01,基隆港,50867,13786,64653,78524.5,22886.25,101410.75,NA,NA,NA,0.21323063121587552,0.7867693687841245,0.22567873721474302,0.774321262785257,NA,NA
202103,2021-03-01,基隆港,71592,14565,86157,110866.25,23629.75,134496,NA,NA,NA,0.16905184720916466,0.8309481527908353,0.17569109862003332,0.8243089013799667,NA,NA
202104,2021-04-01,基隆港,69029,16870,85899,107701.75,27841.75,135543.5,NA,NA,NA,0.19639343880603966,0.8036065611939603,0.20540822687919377,0.7945917731208062,NA,NA
202105,2021-05-01,基隆港,72098,16509,88607,112713.25,28393,141106.25,NA,NA,NA,0.18631710812915458,0.8136828918708454,0.201217167914249,0.798782832085751,NA,NA
202106,2021-06-01,基隆港,62228,18240,80468,96719.5,30289.5,127009,NA,NA,NA,0.2266739573495054,0.7733260426504946,0.23848309962286138,0.7615169003771386,NA,NA
202107,2021-07-01,基隆港,65202,16571,81773,100804,27703.5,128507.5,NA,NA,NA,0.2026463502623115,0.7973536497376885,0.21557885726514017,0.7844211427348599,NA,NA
202108,2021-08-01,基隆港,71259,17874,89133,111175.5,30107,141282.5,NA,NA,NA,0.20053178957288548,0.7994682104271146,0.2130978712862527,0.7869021287137473,NA,NA
202109,2021-09-01,基隆港,66116,18004,84120,102697.5,29957.75,132655.25,NA,NA,NA,0.21402757964812172,0.7859724203518783,0.22583161993211728,0.7741683800678827,NA,NA
202110,2021-10-01,基隆港,63383,16094,79477,99134.25,26637.25,125771.5,NA,NA,NA,0.20249883614127356,0.7975011638587264,0.21179082701565935,0.7882091729843407,NA,NA
202111,2021-11-01,基隆港,73552,17557,91109,114703.25,29472,144175.25,NA,NA,NA,0.19270324556300694,0.807296754436993,0.20441788725873547,0.7955821127412646,NA,NA
202112,2021-12-01,基隆港,74846,21230,96076,117665.25,34976.5,152641.75,NA,NA,NA,0.22097089803905243,0.7790291019609475,0.2291411098208714,0.7708588901791286,NA,NA
202201,2022-01-01,基隆港,67024,22274,89298,105467,36285.75,141752.75,NA,NA,NA,0.24943447781585254,0.7505655221841475,0.25597916089811307,0.7440208391018869,NA,NA
202202,2022-02-01,基隆港,53161,13601,66762,83818,21859.5,105677.5,NA,NA,NA,0.20372367514454331,0.7962763248554567,0.20685103262283835,0.7931489673771617,NA,NA
202203,2022-03-01,基隆港,70930,17413,88343,111078.25,28798,139876.25,NA,NA,NA,0.1971067317161518,0.8028932682838482,0.2058819849688564,0.7941180150311437,NA,NA
202204,2022-04-01,基隆港,66565,17151,83716,104885.75,28605,133490.75,NA,NA,NA,0.20487123130584356,0.7951287686941564,0.21428451034996807,0.7857154896500319,NA,NA
202205,2022-05-01,基隆港,68970,18927,87897,108516.5,31396.75,139913.25,NA,NA,NA,0.21533158128263763,0.7846684187173624,0.22440154881685617,0.7755984511831439,NA,NA
202206,2022-06-01,基隆港,71849,20643,92492,112895.5,34489,147384.5,NA,NA,NA,0.22318687021580244,0.7768131297841976,0.2340069681682945,0.7659930318317055,NA,NA
202207,2022-07-01,基隆港,71808,23445,95253,113377.5,39129.75,152507.25,NA,NA,NA,0.24613398003212497,0.7538660199678751,0.2565763266992225,0.7434236733007775,NA,NA
202208,2022-08-01,基隆港,66377,21137,87514,104649.5,35702.5,140352,NA,NA,NA,0.24152706995452156,0.7584729300454784,0.2543782774737802,0.7456217225262198,NA,NA
202209,2022-09-01,基隆港,60219,15955,76174,95401.25,27046,122447.25,NA,NA,NA,0.209454669572295,0.790545330427705,0.22087878657952711,0.7791212134204729,NA,NA
202210,2022-10-01,基隆港,61219,17232,78451,97124,28730.5,125854.5,NA,NA,NA,0.21965303182878484,0.7803469681712152,0.2282834543063617,0.7717165456936382,NA,NA
202211,2022-11-01,基隆港,65813,18563,84376,105144.25,30894,136038.25,NA,NA,NA,0.2200033184791884,0.7799966815208116,0.22709789342335704,0.7729021065766429,NA,NA
202212,2022-12-01,基隆港,65278,20578,85856,104167.25,33244.75,137412,NA,NA,NA,0.23968039508013417,0.7603196049198658,0.24193483829650977,0.7580651617034903,NA,NA
202301,2023-01-01,基隆港,49447,17227,66674,78905.5,28256.5,107162,NA,NA,NA,0.2583765785763566,0.7416234214236433,0.26368022246691925,0.7363197775330808,NA,NA
202302,2023-02-01,基隆港,56560,12961,69521,88432.75,21156.25,109589,NA,NA,NA,0.18643287639705988,0.8135671236029401,0.19305085364407013,0.8069491463559298,NA,NA
202303,2023-03-01,基隆港,65468,19582,85050,103489.5,32344.5,135834,NA,NA,NA,0.23024103468547913,0.7697589653145208,0.2381178497283449,0.7618821502716551,NA,NA
202304,2023-04-01,基隆港,64616,18061,82677,101623.75,29336.75,130960.5,NA,NA,NA,0.21845253214315952,0.7815474678568405,0.22401220215255746,0.7759877978474425,NA,NA
202305,2023-05-01,基隆港,64777,18581,83358,103625.75,30522,134147.75,NA,NA,NA,0.22290601981813382,0.7770939801818662,0.2275252473485392,0.7724747526514608,NA,NA
202306,2023-06-01,基隆港,60797,17567,78364,95349,29121.5,124470.5,NA,NA,NA,0.22417181358787197,0.775828186412128,0.2339630675541594,0.7660369324458406,NA,NA
202307,2023-07-01,基隆港,62777,19959,82736,98963.25,32628.75,131592,NA,NA,NA,0.24123718816476503,0.758762811835235,0.2479539029728251,0.752046097027175,NA,NA
202308,2023-08-01,基隆港,63248,18336,81584,99847.75,30693.25,130541,NA,NA,NA,0.22474995097077857,0.7752500490292215,0.23512344780567024,0.7648765521943297,NA,NA
