ds,yhat,yhat_lower,yhat_upper,port,metric,metric_label,is_forecast,observed_latest_ds,ym
2021-01-01T00:00:00Z,17956.358023952238,16158.529295787204,19799.896977731692,基隆港,empty_container_count,空櫃個數,FALSE,2026-04-01,202101
2021-02-01T00:00:00Z,11823.73299723693,10138.515040971479,13627.61522723869,基隆港,empty_container_count,空櫃個數,FALSE,2026-04-01,202102
2021-03-01T00:00:00Z,14926.441766753625,13174.169860957252,16669.025978549835,基隆港,empty_container_count,空櫃個數,FALSE,2026-04-01,202103
2021-04-01T00:00:00Z,16638.03215150123,14877.191906055494,18316.25248895245,基隆港,empty_container_count,空櫃個數,FALSE,2026-04-01,202104
2021-05-01T00:00:00Z,18159.812486402065,16425.727523923437,20000.6194362633,基隆港,empty_container_count,空櫃個數,FALSE,2026-04-01,202105
2021-06-01T00:00:00Z,18613.135867391637,16782.01652550039,20360.672513351816,基隆港,empty_container_count,空櫃個數,FALSE,2026-04-01,202106
2021-07-01T00:00:00Z,18181.240808184448,16395.419531558196,20003.929143931,基隆港,empty_container_count,空櫃個數,FALSE,2026-04-01,202107
2021-08-01T00:00:00Z,18188.36614710958,16220.049879868915,19809.159214847623,基隆港,empty_container_count,空櫃個數,FALSE,2026-04-01,202108
2021-09-01T00:00:00Z,17010.707524296824,15158.89154288776,18764.507068752984,基隆港,empty_container_count,空櫃個數,FALSE,2026-04-01,202109
2021-10-01T00:00:00Z,14881.094139682586,13088.610627719887,16745.921846693487,基隆港,empty_container_count,空櫃個數,FALSE,2026-04-01,202110
2021-11-01T00:00:00Z,17604.960946685835,15922.206646920387,19479.45276977122,基隆港,empty_container_count,空櫃個數,FALSE,2026-04-01,202111
2021-12-01T00:00:00Z,20172.354957441887,18384.427473157746,21894.927110707322,基隆港,empty_container_count,空櫃個數,FALSE,2026-04-01,202112
2022-01-01T00:00:00Z,19218.196839277287,17402.55347332539,21031.124762072635,基隆港,empty_container_count,空櫃個數,FALSE,2026-04-01,202201
2022-02-01T00:00:00Z,13048.06654430119,11268.314588370089,14797.622500475514,基隆港,empty_container_count,空櫃個數,FALSE,2026-04-01,202202
2022-03-01T00:00:00Z,17105.398457522053,15398.648631167523,18798.238767996303,基隆港,empty_container_count,空櫃個數,FALSE,2026-04-01,202203
2022-04-01T00:00:00Z,18056.482270361645,16270.580957520122,19786.850688864182,基隆港,empty_container_count,空櫃個數,FALSE,2026-04-01,202204
2022-05-01T00:00:00Z,19056.602228429492,17125.414001182562,20847.233697188367,基隆港,empty_container_count,空櫃個數,FALSE,2026-04-01,202205
2022-06-01T00:00:00Z,19274.504597139177,17443.664245990927,21017.155737223246,基隆港,empty_container_count,空櫃個數,FALSE,2026-04-01,202206
2022-07-01T00:00:00Z,20433.244132682288,18672.680250993635,22170.645292609966,基隆港,empty_container_count,空櫃個數,FALSE,2026-04-01,202207
2022-08-01T00:00:00Z,19258.515686165432,17528.49842178793,21155.9750340179,基隆港,empty_container_count,空櫃個數,FALSE,2026-04-01,202208
2022-09-01T00:00:00Z,18169.990091029464,16430.61717409138,20014.61857271045,基隆港,empty_container_count,空櫃個數,FALSE,2026-04-01,202209
2022-10-01T00:00:00Z,17164.160222716073,15353.201789982102,18939.095761552682,基隆港,empty_container_count,空櫃個數,FALSE,2026-04-01,202210
2022-11-01T00:00:00Z,18706.986512342042,16946.27451513381,20469.27237808171,基隆港,empty_container_count,空櫃個數,FALSE,2026-04-01,202211
2022-12-01T00:00:00Z,20995.532391737244,19292.07684482689,22861.32685055246,基隆港,empty_container_count,空櫃個數,FALSE,2026-04-01,202212
2023-01-01T00:00:00Z,20489.578199252574,18734.59984443015,22155.4490352817,基隆港,empty_container_count,空櫃個數,FALSE,2026-04-01,202301
2023-02-01T00:00:00Z,14290.105401402761,12372.895240121668,16151.398163898468,基隆港,empty_container_count,空櫃個數,FALSE,2026-04-01,202302
2023-03-01T00:00:00Z,19281.24773632755,17564.5115332582,21166.443658504377,基隆港,empty_container_count,空櫃個數,FALSE,2026-04-01,202303
2023-04-01T00:00:00Z,19453.92512923669,17638.930971655827,21231.989021895213,基隆港,empty_container_count,空櫃個數,FALSE,2026-04-01,202304
2023-05-01T00:00:00Z,19942.689243932182,18123.730071542646,21802.609962328264,基隆港,empty_container_count,空櫃個數,FALSE,2026-04-01,202305
2023-06-01T00:00:00Z,19952.03154637587,18213.881933897603,21704.890056964876,基隆港,empty_container_count,空櫃個數,FALSE,2026-04-01,202306
2023-07-01T00:00:00Z,22692.60026936293,20860.862340961416,24387.830708677368,基隆港,empty_container_count,空櫃個數,FALSE,2026-04-01,202307
2023-08-01T00:00:00Z,20321.578566022614,18576.382206472936,22134.749777312605,基隆港,empty_container_count,空櫃個數,FALSE,2026-04-01,202308
2023-09-01T00:00:00Z,19341.73055667352,17456.601806654933,21108.011618073557,基隆港,empty_container_count,空櫃個數,FALSE,2026-04-01,202309
2023-10-01T00:00:00Z,19442.991342131838,17718.276745648996,21097.644577115156,基隆港,empty_container_count,空櫃個數,FALSE,2026-04-01,202310
