ym,port,history_n,pressure_scenario,buffer_scenario,analysis_universe,empty_in,empty_out,full_in,full_out,throughput,empty_net,empty_total_flow,full_total_flow,export_pull,roll3_empty_net,cum_empty_net,pressure_flow_raw,pressure_net_raw,pressure_roll_raw,buffer_space_raw,buffer_net_raw,buffer_export_raw,pressure_index,buffer_index,high_pressure_cut,high_buffer_cut,low_pressure_cut,status
202501,基隆港,1,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,1339,38704,81209,18122,128813.75,-37365,40043,99331,0.1406837391194651,-37365,-37365,0.01039485303393465,0,0,0.9896051469660654,0.29006996535695917,0.1406837391194651,0,0,0,0,0,正常港
202501,臺中港,1,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,11295,9012,80832,40216,129085,2283,20307,121048,0.3115466553046442,2283,2283,0.08750048417709261,0.01768602083898206,0.01768602083898206,0.9124995158229074,0,0.3115466553046442,0,0,0,0,0,正常港
202501,臺北港,1,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,2741,6723,65885,51689,117935,-3982,9464,117574,0.4382838003985246,-3982,-3982,0.02324161614448637,0,0,0.9767583838555136,0.03376436172467885,0.4382838003985246,0,0,0,0,0,正常港
202501,高雄港,1,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,68252,54612,377368,305842,780706.5,13640,122864,683210,0.39175029284372553,13640,13640,0.08742337869609129,0.01747135447187899,0.01747135447187899,0.9125766213039088,0,0.39175029284372553,0,0,0,0,0,正常港
202502,基隆港,2,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,1671,20761,68084,19435,104992.75,-19090,22432,87519,0.18510801936324175,-28227.5,-56455,0.0159153846337009,0,0,0.9840846153662992,0.26885189691669187,0.18510801936324175,0.22,0.15,1,0.26249999999999996,0.61,正常港
202502,臺中港,2,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,6222,5935,64518,43731,108321.75,287,12157,108249,0.4037139355669568,1285,2570,0.05743998781408166,0.00264951406342678,0.01186280686934987,0.94256001218591845,0,0.4037139355669568,0,0.6,1,0.26249999999999996,0.61,正常港
202502,臺北港,2,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,8091,3290,62585,45740,100157.25,4801,11381,108325,0.4566818677629428,409.5,819,0.08078296878159094,0.04793462280563813,0.0040885707225388,0.919217031218409,0,0.4566818677629428,1,0.15,1,0.26249999999999996,0.61,正常港
202502,高雄港,2,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,71397,44013,333046,277184,693319.75,27384,115410,610230,0.39979244785685103,20512,41024,0.10297845979434452,0.03949692764413533,0.02958519499841162,0.8970215402056555,0,0.39979244785685103,1,0.15,1,0.26249999999999996,0.61,正常港
202503,基隆港,3,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,2840,32596,91951,21451,136081.75,-29756,35436,113402,0.1576331874038951,-28737,-86211,0.02086980803818293,0,0,0.979130191961817,0.21117453295537425,0.1576331874038951,0.22,0.075,0.575,0.35,0.36,正常港
202503,臺中港,3,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,10585,6574,83661,51097,140307.75,4011,17159,134758,0.3641780300803056,2193.6666666666665,6581,0.07544130669902412,0.02858715929804305,0.01563467924378137,0.9245586933009758,0,0.3641780300803056,0.7999999999999999,0.3,0.575,0.35,0.36,高壓力港
202503,臺北港,3,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,3757,6981,76463,59820,131944.25,-3224,10738,136283,0.45337329970802065,-801.6666666666666,-2405,0.02847414722505906,0,0,0.971525852774941,0.00607579842749241,0.45337329970802065,0.11,0.5,0.575,0.35,0.36,高緩衝港
202503,高雄港,3,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,81063,55625,399283,293156,791883.25,25438,136688,692439,0.37020103657957154,22154,66462,0.10236736286567497,0.03212342223427506,0.0279763462606388,0.8976326371343251,0,0.37020103657957154,0.5,0.225,0.575,0.35,0.36,正常港
