年月,港口別,總計,進港,出港
200101,國際商港,757557.75,380881.75,376676
200101,基隆港,128067.5,71625,56442.5
200101,臺中港,73364.5,37248,36116.5
200101,高雄港,556125.75,272008.75,284117
200101,花蓮港,0,0,0
200101,臺北港,0,0,0
200101,蘇澳港,0,0,0
200101,安平港,0,0,0
200102,國際商港,775479.25,384994,390485.25
200102,基隆港,135388,71408,63980
200102,臺中港,82504.5,38857,43647.5
200102,高雄港,557450.75,274729,282721.75
200102,花蓮港,0,0,0
200102,臺北港,0,0,0
200102,蘇澳港,0,0,0
200102,安平港,136,0,136
200103,國際商港,929237.25,455451,473786.25
200103,基隆港,164022.5,83442.5,80580
200103,臺中港,99769.5,48189.5,51580
200103,高雄港,665324.25,323698,341626.25
200103,花蓮港,0,0,0
200103,臺北港,0,0,0
200103,蘇澳港,0,0,0
200103,安平港,121,121,0
200104,國際商港,874790.75,431107.75,443683
200104,基隆港,159412.75,83086,76326.75
200104,臺中港,91511,44988.5,46522.5
200104,高雄港,623570,302854.25,320715.75
200104,花蓮港,0,0,0
200104,臺北港,0,0,0
200104,蘇澳港,0,0,0
200104,安平港,297,179,118
200105,國際商港,901189.75,450308.25,450881.5
200105,基隆港,159886.25,82801,77085.25
200105,臺中港,92845,44158,48687
200105,高雄港,648223.5,323197.25,325026.25
200105,花蓮港,0,0,0
200105,臺北港,0,0,0
200105,蘇澳港,0,0,0
200105,安平港,235,152,83
200106,國際商港,876872.25,435343.5,441528.75
200106,基隆港,150410.75,76347,74063.75
200106,臺中港,86753.5,40632.5,46121
200106,高雄港,639708,318364,321344
200106,花蓮港,0,0,0
200106,臺北港,0,0,0
200106,蘇澳港,0,0,0
200106,安平港,0,0,0
200107,國際商港,875134.75,422328.25,452806.5
200107,基隆港,145429.25,73199.25,72230
200107,臺中港,87325,41426.5,45898.5
200107,高雄港,642080.5,307536.5,334544
200107,花蓮港,0,0,0
200107,臺北港,0,0,0
200107,蘇澳港,0,0,0
200107,安平港,300,166,134
200108,國際商港,908101.75,448936.75,459165
200108,基隆港,159979.75,80476,79503.75
200108,臺中港,90405,42969.5,47435.5
200108,高雄港,657400,325306.25,332093.75
200108,花蓮港,0,0,0
200108,臺北港,0,0,0
200108,蘇澳港,0,0,0
200108,安平港,317,185,132
200109,國際商港,850237.25,421380.75,428856.5
200109,基隆港,141274.5,75964,65310.5
200109,臺中港,92416,45593.5,46822.5
200109,高雄港,616287.75,299685.25,316602.5
200109,花蓮港,0,0,0
200109,臺北港,0,0,0
200109,蘇澳港,0,0,0
200109,安平港,259,138,121
200110,國際商港,910431.5,455572,454859.5
200110,基隆港,161445,82944.5,78500.5
200110,臺中港,90160.5,43072.5,47088
200110,高雄港,658826,329555,329271
200110,花蓮港,0,0,0
200110,臺北港,0,0,0
200110,蘇澳港,0,0,0
200110,安平港,0,0,0
200111,國際商港,883711.75,460760.5,422951.25
200111,基隆港,157577.75,85448,72129.75
200111,臺中港,92711,45794,46917
200111,高雄港,633107,329353.5,303753.5
200111,花蓮港,0,0,0
200111,臺北港,0,0,0
200111,蘇澳港,0,0,0
200111,安平港,316,165,151
200112,國際商港,884970,446878.5,438091.5
200112,基隆港,152960.5,79454.75,73505.75
200112,臺中港,89588.5,43369.5,46219
200112,高雄港,642421,324054.25,318366.75
200112,花蓮港,0,0,0
200112,臺北港,0,0,0
200112,蘇澳港,0,0,0
200112,安平港,0,0,0
200201,國際商港,851990.25,409861.5,442128.75
200201,基隆港,151924.75,78724,73200.75
200201,臺中港,90705,42669,48036
200201,高雄港,609013.5,288295.5,320718
200201,花蓮港,0,0,0
200201,臺北港,0,0,0
200201,蘇澳港,0,0,0
200201,安平港,347,173,174
200202,國際商港,736999.5,373344.75,363654.75
200202,基隆港,108587,54887,53700
200202,臺中港,74571,36208,38363
200202,高雄港,553571.5,282096.75,271474.75
200202,花蓮港,0,0,0
200202,臺北港,0,0,0
200202,蘇澳港,0,0,0
200202,安平港,270,153,117
200203,國際商港,973704,471060.25,502643.75
200203,基隆港,162129,79052.25,83076.75
200203,臺中港,105135,48439,56696
200203,高雄港,706440,343569,362871
200203,花蓮港,0,0,0
200203,臺北港,0,0,0
200203,蘇澳港,0,0,0
200203,安平港,0,0,0
200204,國際商港,975701.25,485279,490422.25
200204,基隆港,170404,88083.25,82320.75
200204,臺中港,105413,52336,53077
200204,高雄港,699324.25,344568.75,354755.5
200204,花蓮港,0,0,0
200204,臺北港,0,0,0
200204,蘇澳港,0,0,0
200204,安平港,560,291,269
200205,國際商港,1003510.75,504414.25,499096.5
200205,基隆港,172430.25,88169.25,84261
200205,臺中港,102999,49258,53741
200205,高雄港,727818.5,366850,360968.5
200205,花蓮港,0,0,0
200205,臺北港,0,0,0
200205,蘇澳港,0,0,0
200205,安平港,263,137,126
200206,國際商港,993662,495339.75,498322.25
200206,基隆港,166514.75,85856,80658.75
200206,臺中港,98975,47158,51817
200206,高雄港,728036.25,362325.75,365710.5
200206,花蓮港,0,0,0
200206,臺北港,0,0,0
200206,蘇澳港,0,0,0
200206,安平港,136,0,136
200207,國際商港,998832.25,490804.75,508027.5
200207,基隆港,164054.75,81993.75,82061
200207,臺中港,96728.5,47779.5,48949
200207,高雄港,737639,360751.5,376887.5
200207,花蓮港,0,0,0
200207,臺北港,0,0,0
200207,蘇澳港,0,0,0
200207,安平港,410,280,130
200208,國際商港,999842.5,498223.5,501619
200208,基隆港,166590.5,84971,81619.5
200208,臺中港,100958,48218,52740
200208,高雄港,732039,364903.5,367135.5
200208,花蓮港,0,0,0
200208,臺北港,0,0,0
200208,蘇澳港,0,0,0
200208,安平港,255,131,124
200209,國際商港,971733.75,483139.5,488594.25
200209,基隆港,152506.75,77911.25,74595.5
200209,臺中港,90469,43940,46529
200209,高雄港,728522,361161.25,367360.75
200209,花蓮港,0,0,0
200209,臺北港,0,0,0
200209,蘇澳港,0,0,0
200209,安平港,236,127,109
200210,國際商港,1007133.75,505524.25,501609.5
200210,基隆港,170634,85817.75,84816.25
200210,臺中港,109802,53430,56372
200210,高雄港,726437.75,366157.5,360280.25
200210,花蓮港,0,0,0
200210,臺北港,0,0,0
200210,蘇澳港,0,0,0
200210,安平港,260,119,141
200211,國際商港,1050439.25,528669.5,521769.75
200211,基隆港,161313.5,82956.75,78356.75
200211,臺中港,109618,52898,56720
200211,高雄港,779201.75,392660.75,386541
200211,花蓮港,0,0,0
200211,臺北港,0,0,0
200211,蘇澳港,0,0,0
200211,安平港,306,154,152
200212,國際商港,1045084.75,533024.75,512060
200212,基隆港,171508.25,89728.75,81779.5
200212,臺中港,108283,54334,53949
200212,高雄港,765008.5,388834,376174.5
200212,花蓮港,0,0,0
200212,臺北港,0,0,0
200212,蘇澳港,0,0,0
200212,安平港,285,128,157
200301,國際商港,909225.5,456361.75,452863.75
200301,基隆港,160554,85286.75,75267.25
200301,臺中港,98054,47499,50555
200301,高雄港,650155.5,323419,326736.5
200301,花蓮港,0,0,0
200301,臺北港,0,0,0
200301,蘇澳港,0,0,0
200301,安平港,462,157,305
200302,國際商港,914252.75,468877.25,445375.5
200302,基隆港,128754.25,68218.25,60536
200302,臺中港,86017,41837,44180
200302,高雄港,699177.5,358647,340530.5
200302,花蓮港,0,0,0
200302,臺北港,0,0,0
200302,蘇澳港,0,0,0
200302,安平港,304,175,129
200303,國際商港,1062701,525351.25,537349.75
200303,基隆港,174986.25,89745.25,85241
200303,臺中港,109077.5,51329.5,57748
200303,高雄港,778216.25,384015.5,394200.75
200303,花蓮港,0,0,0
200303,臺北港,0,0,0
200303,蘇澳港,0,0,0
200303,安平港,421,261,160
200304,國際商港,1056592,528618.75,527973.25
200304,基隆港,168483.25,85964,82519.25
200304,臺中港,105492.5,52289.5,53203
200304,高雄港,782326.25,390218.25,392108
200304,花蓮港,0,0,0
200304,臺北港,0,0,0
200304,蘇澳港,0,0,0
200304,安平港,290,147,143
200305,國際商港,1010252.75,506445.75,503807
200305,基隆港,169200,85293.25,83906.75
200305,臺中港,105028,49989,55039
200305,高雄港,736024.75,371163.5,364861.25
200305,花蓮港,0,0,0
200305,臺北港,0,0,0
200305,蘇澳港,0,0,0
200305,安平港,0,0,0
